opt_step,train_loss,train_acc,val_loss,val_acc
10,4.653340482711792,0.0091796875,4.636239671707154,0.009429365335051548
20,4.606563901901245,0.0111328125,4.613644313812256,0.0072265625
30,4.586232423782349,0.011393229166666668,4.612815427780151,0.007671552835051547
40,4.572314596176147,0.0111328125,4.629300928115844,0.0029296875
50,4.552539110183716,0.0203125,4.643326950073242,0.0025390625
60,4.533194875717163,0.0236328125,4.675107812881469,0.003515625
70,4.489691495895386,0.02727864583333333,4.732652235031128,0.0037109375
80,4.444912099838257,0.037890625,4.787083435058594,0.004741865335051546
90,4.371198034286499,0.04641927083333333,4.86437292098999,0.0046875
100,4.285881376266479,0.070703125,4.9510077953338625,0.0063043653350515465
110,4.200682640075684,0.08359375,4.953961277008057,0.0044921875
120,4.1388753890991214,0.09635416666666666,4.957368850708008,0.0046875
130,4.0574877738952635,0.1216796875,4.965023612976074,0.006694990335051547
140,3.9804054260253907,0.13990885416666668,4.9569175243377686,0.007866865335051546
150,3.8903095722198486,0.15657552083333331,4.949487018585205,0.010405927835051548
160,3.7975998163223266,0.1763671875,4.9418316841125485,0.010460293170103092
170,3.733987832069397,0.19817708333333334,4.942828702926636,0.011187177835051547
180,3.616631841659546,0.23072916666666665,4.911509466171265,0.013530927835051545
190,3.518558382987976,0.25149739583333336,4.8833465576171875,0.0158203125
200,3.4217015981674193,0.27220052083333335,4.850132322311401,0.018218427835051544
210,3.3243842363357543,0.2890625,4.813604211807251,0.020703125
220,3.223580503463745,0.3068359375,4.76845154762268,0.02530404317010309
230,3.109898400306702,0.33567708333333335,4.703328275680542,0.03160840850515464
240,3.0047454118728636,0.35104166666666664,4.624824476242066,0.034397148840206185
250,2.885443615913391,0.3846354166666667,4.544243001937867,0.04645215850515464
260,2.760209655761719,0.4130859375,4.440518140792847,0.04787371134020619
270,2.619026517868042,0.4397135416666667,4.355762052536011,0.05599025451030928
280,2.5079347610473635,0.4661458333333333,4.238883543014526,0.06923928801546392
290,2.3827569007873537,0.4936848958333333,4.123830795288086,0.07250523518041238
300,2.238820230960846,0.5446614583333333,4.0190505027771,0.08692614368556702
310,2.1264155387878416,0.566796875,3.930824327468872,0.09978455219072165
320,2.018633687496185,0.6005208333333333,3.7992258310317992,0.11150330219072165
330,1.9373413443565368,0.6123697916666667,3.6436229944229126,0.14093105670103093
340,1.8205512762069702,0.6404296875,3.4787989139556883,0.14843951353092782
350,1.6833700656890869,0.687890625,3.381221652030945,0.16660357603092785
360,1.5764087319374085,0.713671875,3.268441319465637,0.18125201353092785
370,1.4837469696998595,0.7330729166666667,3.1250110626220704,0.20432103737113402
380,1.3907267570495605,0.7718098958333333,3.0237748861312865,0.22513289304123713
390,1.2886704087257386,0.7983723958333333,2.884960103034973,0.2436009987113402
400,1.2058013081550598,0.8151692708333333,2.833296275138855,0.25263973904639175
410,1.1417487144470215,0.8417317708333334,2.759807848930359,0.27183472938144326
420,1.0538157880306245,0.8681640625,2.737386178970337,0.27362475837628863
430,1.0078559815883636,0.8805989583333333,2.640653681755066,0.30255315721649484
440,0.9570961892604828,0.891796875,2.6033369302749634,0.31566124355670105
450,0.8940660774707794,0.9021484375,2.5474310636520388,0.32816124355670107
460,0.8510087490081787,0.9085286458333334,2.510420083999634,0.3386537532216495
470,0.7953914880752564,0.9325520833333334,2.485411047935486,0.34515343105670104
480,0.7691289186477661,0.9272786458333334,2.404801869392395,0.36772309922680413
490,0.7085270285606384,0.9440755208333333,2.4182589530944822,0.36255839239690724
500,0.6703840076923371,0.9470052083333333,2.3498810529708862,0.3817855992268041
510,0.6224499762058258,0.9569661458333334,2.3104995012283327,0.40008054123711345
520,0.5880209267139435,0.9655598958333333,2.2670072317123413,0.40398679123711345
530,0.544585382938385,0.9709635416666667,2.2366568565368654,0.4189714884020619
540,0.5029969185590744,0.9778645833333334,2.1641115665435793,0.4335877094072165
550,0.46895270347595214,0.9792317708333333,2.1527631282806396,0.43589924291237114
560,0.4424656182527542,0.9827473958333334,2.062186968326569,0.46136638208762887
570,0.42089303731918337,0.9852213541666666,1.9959559440612793,0.46795264175257734
580,0.371381938457489,0.9917317708333334,1.918465781211853,0.48737516108247425
590,0.34129720032215116,0.9939453125,1.9294286847114563,0.48171109858247424
600,0.32011220753192904,0.9938151041666666,1.766346037387848,0.5212951030927835
610,0.2879581362009048,0.9958333333333333,1.6987192273139953,0.5305835212628865
620,0.258888004720211,0.9984375,1.6208623886108398,0.5483247422680412
630,0.23860107958316804,0.9982421875,1.5824508547782898,0.552100112757732
640,0.22335046380758286,0.998828125,1.5467868804931642,0.5638953769329896
650,0.20786525458097457,0.999609375,1.482273268699646,0.5694184922680412
660,0.1888066992163658,0.9990234375,1.4608309149742127,0.5788478576030928
670,0.1748957857489586,0.9994140625,1.3984582662582397,0.5914344394329897
680,0.16355210840702056,0.999609375,1.3337517023086547,0.6035115979381442
690,0.14772392809391022,0.9998046875,1.3101648569107056,0.617346568943299
700,0.13854783326387404,1.0,1.2985944151878357,0.6159250161082475
710,0.13488123714923858,1.0,1.2800516963005066,0.6223159632731958
720,0.129118200391531,0.999609375,1.2322654485702516,0.6311593911082475
730,0.12375485152006149,1.0,1.224394428730011,0.6258859536082475
740,0.12488900795578957,0.9983723958333334,1.2091503262519836,0.6391349871134021
750,0.12947821766138076,0.999609375,1.1847184777259827,0.642737193943299
760,0.11956141293048858,0.9994140625,1.1434688329696656,0.649182506443299
770,0.10858020782470704,0.999609375,1.1075201392173768,0.6613462467783505
780,0.09787519425153732,1.0,1.0777119994163513,0.6662834246134021
790,0.08696022480726243,1.0,1.0669067442417144,0.6714159149484537
800,0.08192815110087395,1.0,1.059912770986557,0.6692674774484536
810,0.08185848370194435,0.9998046875,1.0478098094463348,0.6788921552835052
820,0.08226798176765442,0.9998046875,1.0123692750930786,0.6847193137886598
830,0.0807121641933918,1.0,1.035330581665039,0.6847193137886598
840,0.07694184482097625,1.0,1.0096497774124145,0.6927049774484536
850,0.07464600056409836,0.99921875,0.9852721691131592,0.6936493234536083
860,0.0722639549523592,0.999609375,0.9911609590053558,0.6963293331185567
870,0.06871005930006505,0.9998046875,0.9809399843215942,0.6954071359536083
880,0.06452279426157474,1.0,0.9466750741004943,0.7065943137886598
890,0.058340512216091156,0.9998046875,0.9451898157596588,0.7020477609536082
900,0.05355151556432247,1.0,0.9305701076984405,0.7078749194587629
910,0.053519947826862334,0.9998046875,0.936349070072174,0.7045546069587629
920,0.052535044774413106,1.0,0.899298095703125,0.7204292847938144
930,0.046461765095591544,1.0,0.8893736600875854,0.7303902222938145
940,0.04431517124176025,1.0,0.859970623254776,0.7364992751288659
950,0.04344874583184719,1.0,0.8863184034824372,0.7202339722938145
960,0.04184083081781864,1.0,0.867092764377594,0.7299774484536082
970,0.042376520857214925,0.9989583333333334,0.9696870744228363,0.7053358569587629
